Epoch [201/1000], Loss: 0.4696, Accuracy: 36.16298811544991%
Epoch [202/1000], Loss: 0.4253, Accuracy: 36.16298811544991%
Epoch [203/1000], Loss: 0.3685, Accuracy: 37.26655348047538%
Epoch [204/1000], Loss: 0.5694, Accuracy: 37.60611205432937%
Epoch [205/1000], Loss: 0.2735, Accuracy: 38.964346349745334%
Epoch [206/1000], Loss: 0.3434, Accuracy: 39.30390492359932%
Epoch [207/1000], Loss: 0.2253, Accuracy: 37.86078098471987%
Epoch [208/1000], Loss: 0.3851, Accuracy: 37.60611205432937%
Epoch [209/1000], Loss: 0.1827, Accuracy: 37.521222410865875%
Epoch [210/1000], Loss: 0.4193, Accuracy: 36.8421052631579%
Epoch [211/1000], Loss: 0.3354, Accuracy: 36.7572156196944%
Epoch [212/1000], Loss: 0.2741, Accuracy: 36.926994906621395%
Epoch [213/1000], Loss: 0.2939, Accuracy: 37.60611205432937%
Epoch [214/1000], Loss: 0.3255, Accuracy: 39.473684210526315%
Epoch [215/1000], Loss: 0.3831, Accuracy: 38.37011884550085%
Epoch [216/1000], Loss: 0.2854, Accuracy: 38.030560271646856%
Epoch [217/1000], Loss: 0.2301, Accuracy: 38.37011884550085%
Epoch [218/1000], Loss: 0.3171, Accuracy: 37.43633276740238%
Epoch [219/1000], Loss: 0.4739, Accuracy: 37.26655348047538%
Epoch [220/1000], Loss: 0.2782, Accuracy: 38.79456706281834%
Epoch [221/1000], Loss: 0.1783, Accuracy: 38.37011884550085%
Epoch [222/1000], Loss: 0.4123, Accuracy: 36.6723259762309%
Epoch [223/1000], Loss: 0.2309, Accuracy: 37.77589134125637%
Epoch [224/1000], Loss: 0.4815, Accuracy: 38.455008488964346%
Epoch [225/1000], Loss: 0.4902, Accuracy: 37.011884550084886%
Epoch [226/1000], Loss: 0.5966, Accuracy: 37.521222410865875%
Epoch [227/1000], Loss: 0.1950, Accuracy: 35.82342954159593%
Epoch [228/1000], Loss: 0.3417, Accuracy: 38.455008488964346%
Epoch [229/1000], Loss: 0.2680, Accuracy: 38.964346349745334%
Epoch [230/1000], Loss: 0.2852, Accuracy: 37.69100169779287%
Epoch [231/1000], Loss: 0.3928, Accuracy: 39.30390492359932%
Epoch [232/1000], Loss: 0.2606, Accuracy: 37.77589134125637%
Epoch [233/1000], Loss: 0.3131, Accuracy: 38.455008488964346%
Epoch [234/1000], Loss: 0.1015, Accuracy: 36.5874363327674%
Epoch [235/1000], Loss: 0.2152, Accuracy: 38.539898132427844%
Epoch [236/1000], Loss: 0.2766, Accuracy: 37.43633276740238%
Epoch [237/1000], Loss: 0.3413, Accuracy: 37.35144312393888%
Epoch [238/1000], Loss: 0.1071, Accuracy: 36.8421052631579%
Epoch [239/1000], Loss: 0.4319, Accuracy: 36.926994906621395%
Epoch [240/1000], Loss: 0.4746, Accuracy: 38.37011884550085%
Epoch [241/1000], Loss: 0.3840, Accuracy: 37.096774193548384%
Epoch [242/1000], Loss: 0.1000, Accuracy: 38.62478777589134%
Epoch [243/1000], Loss: 0.1527, Accuracy: 38.879456706281836%
Epoch [244/1000], Loss: 0.1629, Accuracy: 36.33276740237691%
Epoch [245/1000], Loss: 0.2549, Accuracy: 38.37011884550085%
Epoch [246/1000], Loss: 0.2450, Accuracy: 38.030560271646856%
Epoch [247/1000], Loss: 0.3808, Accuracy: 37.86078098471987%
Epoch [248/1000], Loss: 0.1878, Accuracy: 37.69100169779287%
Epoch [249/1000], Loss: 0.3006, Accuracy: 35.908319185059426%
Epoch [250/1000], Loss: 0.4170, Accuracy: 37.60611205432937%
Epoch [251/1000], Loss: 0.2671, Accuracy: 37.096774193548384%
Epoch [252/1000], Loss: 0.3224, Accuracy: 38.539898132427844%
Epoch [253/1000], Loss: 0.3227, Accuracy: 38.28522920203735%
Epoch [254/1000], Loss: 0.3487, Accuracy: 36.926994906621395%
Epoch [255/1000], Loss: 0.3111, Accuracy: 37.86078098471987%
Epoch [256/1000], Loss: 0.4291, Accuracy: 37.60611205432937%
Epoch [257/1000], Loss: 0.8019, Accuracy: 37.43633276740238%
Epoch [258/1000], Loss: 0.1462, Accuracy: 36.8421052631579%
Epoch [259/1000], Loss: 0.2715, Accuracy: 38.539898132427844%
Epoch [260/1000], Loss: 0.1309, Accuracy: 38.79456706281834%
Epoch [261/1000], Loss: 0.1366, Accuracy: 37.69100169779287%
Epoch [262/1000], Loss: 0.2850, Accuracy: 38.28522920203735%
Epoch [263/1000], Loss: 0.1978, Accuracy: 36.5874363327674%
Epoch [264/1000], Loss: 0.2816, Accuracy: 38.62478777589134%
Epoch [265/1000], Loss: 0.4330, Accuracy: 37.945670628183365%
Epoch [266/1000], Loss: 0.1793, Accuracy: 37.26655348047538%
Epoch [267/1000], Loss: 0.1981, Accuracy: 38.964346349745334%
Epoch [268/1000], Loss: 0.1051, Accuracy: 38.37011884550085%
Epoch [269/1000], Loss: 0.3251, Accuracy: 38.115449915110354%
Epoch [270/1000], Loss: 0.1606, Accuracy: 36.8421052631579%
Epoch [271/1000], Loss: 0.2823, Accuracy: 37.096774193548384%
Epoch [272/1000], Loss: 0.4800, Accuracy: 38.79456706281834%
Epoch [273/1000], Loss: 0.1541, Accuracy: 38.70967741935484%
Epoch [274/1000], Loss: 0.1829, Accuracy: 37.86078098471987%
Epoch [275/1000], Loss: 0.1427, Accuracy: 38.62478777589134%
